# Selection : patch(inlet)
# Faces  :    12
# Area   :    3.600000e-02
# Time        	areaAverage(p)	areaAverage(U)
0.122         	2.264000e+01	(1.296617e-07 1.335775e-03 7.497268e-17)
0.124         	2.264000e+01	(1.316242e-07 1.357658e-03 7.497268e-17)
0.126         	2.264000e+01	(1.335819e-07 1.379541e-03 7.497268e-17)
0.128         	2.264000e+01	(1.355358e-07 1.401423e-03 7.497268e-17)
0.13          	2.264000e+01	(1.374826e-07 1.423306e-03 7.497269e-17)
0.132         	2.264000e+01	(1.394198e-07 1.445188e-03 7.497269e-17)
0.134         	2.264000e+01	(1.413505e-07 1.467070e-03 7.497269e-17)
0.136         	2.264000e+01	(1.432763e-07 1.488952e-03 7.497269e-17)
0.138         	2.264000e+01	(1.451972e-07 1.510834e-03 7.497269e-17)
0.14          	2.264000e+01	(1.471132e-07 1.532716e-03 7.497269e-17)
0.142         	2.264000e+01	(1.490243e-07 1.554598e-03 7.497269e-17)
0.144         	2.264000e+01	(1.509304e-07 1.576480e-03 7.497269e-17)
0.146         	2.264000e+01	(1.528315e-07 1.598361e-03 7.497269e-17)
0.148         	2.264000e+01	(1.547275e-07 1.620243e-03 7.497269e-17)
0.15          	2.264000e+01	(1.566184e-07 1.642124e-03 7.497269e-17)
0.152         	2.264000e+01	(1.585041e-07 1.664006e-03 7.497270e-17)
0.154         	2.264000e+01	(1.603845e-07 1.685887e-03 7.497270e-17)
0.156         	2.264000e+01	(1.622596e-07 1.707768e-03 7.497270e-17)
0.158         	2.264000e+01	(1.641293e-07 1.729649e-03 7.497270e-17)
0.16          	2.264000e+01	(1.659935e-07 1.751530e-03 7.497270e-17)
0.162         	2.264000e+01	(1.678522e-07 1.773411e-03 7.497270e-17)
0.164         	2.264000e+01	(1.697053e-07 1.795292e-03 7.497270e-17)
0.166         	2.264000e+01	(1.715526e-07 1.817172e-03 7.497270e-17)
0.168         	2.264000e+01	(1.733942e-07 1.839053e-03 7.497270e-17)
0.17          	2.264000e+01	(1.752300e-07 1.860933e-03 7.497270e-17)
0.172         	2.264000e+01	(1.770598e-07 1.882814e-03 7.497270e-17)
0.174         	2.264000e+01	(1.788836e-07 1.904694e-03 7.497270e-17)
0.176         	2.264000e+01	(1.807015e-07 1.926574e-03 7.497270e-17)
0.178         	2.264000e+01	(1.825132e-07 1.948455e-03 7.497270e-17)
0.18          	2.264000e+01	(1.843188e-07 1.970335e-03 7.497271e-17)
0.182         	2.264000e+01	(1.861182e-07 1.992215e-03 7.497271e-17)
0.184         	2.264000e+01	(1.879115e-07 2.014095e-03 7.497271e-17)
0.186         	2.264000e+01	(1.896990e-07 2.035975e-03 7.497271e-17)
0.188         	2.264000e+01	(1.914790e-07 2.057855e-03 7.497271e-17)
0.19          	2.264000e+01	(1.932519e-07 2.079734e-03 7.497271e-17)
0.192         	2.264000e+01	(1.950183e-07 2.101614e-03 7.497271e-17)
0.194         	2.264000e+01	(1.967781e-07 2.123494e-03 7.497271e-17)
0.196         	2.264000e+01	(1.985314e-07 2.145373e-03 7.497271e-17)
